rank,City,State,population,Location
108,Tacoma,Washington,"202,010","47.2522,122.4598"
,,,,
109,Shreveport,Louisiana,"201,867","32.4670,93.7927"
,,,,
110,Fontana,California,"201,812","34.1088,117.4627"
,,,,
111,Oxnard,California,"201,555","34.2023,119.2046"
,,,,
112,Aurora,Illinois,"199,932","41.7635,88.2901"
,,,,
113,Moreno Valley,California,"199,552","33.9233,117.2057"
,,,,
114,Akron,Ohio,"198,549","41.0805,81.5214"
,,,,
115,Yonkers,New York,"198,449","40.9459,73.8674"
,,,,
116,Columbus,Georgia,"198,413","32.5102,84.8749"
,,,,
117,Augusta,Georgia,"197,872","33.3655,82.0734"
,,,,
118,Little Rock,Arkansas,"196,537","34.7254,92.3586"
,,,,
119,Amarillo,Texas,"195,250","35.1978,101.8287"
,,,,
120,Mobile,Alabama,"194,822","30.6684,88.1002"
,,,,
121,Huntington Beach,California,"194,708","33.6906,118.0093"
,,,,
122,Glendale,California,"194,478","34.1814,118.2458"
,,,,
123,Grand Rapids,Michigan,"190,411","42.9612,85.6556"
,,,,
124,Salt Lake City,Utah,"189,314","40.7785,111.9314"
,,,,
125,Tallahassee,Florida,"186,971","30.4551,84.2534"
,,,,
126,Huntsville,Alabama,"183,739","34.7843,86.5390"
,,,,
127,Worcester,Massachusetts,"182,669","42.2695,71.8078"
,,,,
128,Knoxville,Tennessee,"182,200","35.9709,83.9465"
,,,,
129,Grand Prairie,Texas,"181,824","32.6842,97.0210"
,,,,
130,Newport News,Virginia,"180,726","37.0760,76.5217"
,,,,
131,Brownsville,Texas,"180,097","26.0183,97.4538"
,,,,
132,Santa Clarita,California,"179,013","34.4049,118.5047"
,,,,
133,Overland Park,Kansas,"178,919","38.8890,94.6906"
,,,,
134,Providence,Rhode Island,"178,432","41.8231,71.4188"
,,,,
135,Jackson,Mississippi,"175,437","32.3158,90.2128"
,,,,
136,Garden Grove,California,"174,389","33.7788,117.9605"
,,,,
137,Oceanside,California,"171,293","33.2246,117.3062"
,,,,
138,Chattanooga,Tennessee,"171,279","35.0665,85.2471"
,,,,
139,Fort Lauderdale,Florida,"170,747","26.1413,80.1439"
,,,,
140,Rancho Cucamonga,California,"170,746","34.1233,117.5642"
,,,,
141,Santa Rosa,California,"170,685","38.4468,122.7061"
,,,,
142,Port St. Lucie,Florida,"168,716","27.2810,80.3838"
,,,,
143,Ontario,California,"167,211","34.0395,117.6088"
,,,,
144,Tempe,Arizona,"166,842","33.3884,111.9318"
,,,,
145,Vancouver,Washington,"165,489","45.6372,122.5965"
,,,,
146,Springfield,Missouri,"162,191","37.1942,93.2913"
,,,,
147,Cape Coral,Florida,"161,248","26.6431,81.9973"
,,,,
148,Pembroke Pines,Florida,"160,306","26.0212,80.3404"
,,,,
149,Sioux Falls,South Dakota,"159,908","43.5383,96.7320"
,,,,
150,Peoria,Arizona,"159,789","33.7877,112.3111"
,,,,
151,Lancaster,California,"159,055","34.6936,118.1753"
,,,,
152,Elk Grove,California,"159,038","38.4144,121.3849"
,,,,
153,Corona,California,"158,391","33.8624,117.5639"
,,,,
154,Eugene,Oregon,"157,986","44.0567,123.1162"
,,,,
155,Salem,Oregon,"157,429","44.9237,123.0231"
,,,,
156,Palmdale,California,"155,650","34.5913,118.1090"
,,,,
157,Salinas,California,"154,484","36.6902,121.6337"
,,,,
158,Springfield,Massachusetts,"153,552","42.1155,72.5400"
,,,,
159,Pasadena,Texas,"152,272","29.6583,95.1505"
,,,,
160,Rockford,Illinois,"150,843","42.2634,89.0628"
,,,,
161,Pomona,California,"150,812","34.0586,117.7613"
,,,,
162,Hayward,California,"149,392","37.6281,122.1063"
,,,,
163,Fort Collins,Colorado,"148,612","40.5482,105.0648"
,,,,
164,Joliet,Illinois,"148,268","41.5181,88.1584"
,,,,
165,Escondido,California,"147,575","33.1336,117.0732"
,,,,
166,Kansas City,Kansas,"147,268","39.1225,94.7418"
,,,,
167,Torrance,California,"147,027","33.8350,118.3414"
,,,,
168,Bridgeport,Connecticut,"146,425","41.1874,73.1957"
,,,,
169,Alexandria,Virginia,"146,294","38.8183,77.0820"
,,,,
170,Sunnyvale,California,"146,197","37.3858,122.0263"
,,,,
171,Cary,North Carolina,"145,693","35.7821,78.8141"
,,,,
172,Lakewood,Colorado,"145,516","39.6989,105.1176"
,,,,
173,Hollywood,Florida,"145,236","26.0311,80.1646"
,,,,
174,Paterson,New Jersey,"145,219","40.9147,74.1628"
,,,,
175,Syracuse,New York,"144,170","43.0410,76.1436"
,,,,
176,Naperville,Illinois,"143,684","41.7492,88.1620"
,,,,
177,McKinney,Texas,"143,223","33.2012,96.6680"
,,,,
178,Mesquite,Texas,"143,195","32.7639,96.5924"
,,,,
179,Clarksville,Tennessee,"142,519","36.5664,87.3452"
,,,,
180,Savannah,Georgia,"142,022","32.0025,81.1536"
,,,,
181,Dayton,Ohio,"141,359","39.7774,84.1996"
,,,,
182,Orange,California,"139,419","33.8048,117.8249"
,,,,
183,Fullerton,California,"138,574","33.8857,117.9280"
,,,,
184,Pasadena,California,"138,547","34.1606,118.1396"
,,,,
185,Hampton,Virginia,"136,836","37.0480,76.2971"
,,,,
186,McAllen,Texas,"134,719","26.2185,98.2461"
,,,,
187,Killeen,Texas,"134,654","31.0777,97.7320"
,,,,
188,Warren,Michigan,"134,141","42.4929,83.0250"
,,,,
189,West Valley City,Utah,"132,434","40.6885,112.0118"
,,,,
190,Columbia,South Carolina,"131,686","34.0298,80.8966"
,,,,
191,New Haven,Connecticut,"130,741","41.3108,72.9250"
,,,,
192,Sterling Heights,Michigan,"130,410","42.5812,83.0303"
,,,,
193,Olathe,Kansas,"130,045","38.8843,94.8188"
,,,,
194,Miramar,Florida,"128,729","25.9770,80.3358"
,,,,
195,Thousand Oaks,California,"128,412","34.1933,118.8742"
,,,,
196,Frisco,Texas,"128,176","33.1510,96.8193"
,,,,
197,Cedar Rapids,Iowa,"128,119","41.9670,91.6778"
,,,,
198,Topeka,Kansas,"127,939","39.0362,95.6948"
,,,,
199,Visalia,California,"127,081","36.3272,119.3234"
,,,,
200,Waco,Texas,"127,018","31.5601,97.1860"
,,,,
201,Elizabeth,New Jersey,"126,458","40.6663,74.1935"
,,,,
202,Bellevue,Washington,"126,439","47.5978,122.1565"
,,,,
203,Gainesville,Florida,"126,047","29.6788,82.3459"
,,,,
204,Simi Valley,California,"125,793","34.2669,118.7485"
,,,,
205,Charleston,South Carolina,"125,583","32.8179,79.9589"
,,,,
206,Carrollton,Texas,"125,409","32.9884,96.8998"
,,,,
207,Coral Springs,Florida,"125,287","26.2708,80.2593"
,,,,
208,Stamford,Connecticut,"125,109","41.0799,73.5460"
,,,,
209,Hartford,Connecticut,"124,893","41.7660,72.6833"
,,,,
210,Concord,California,"124,711","37.9722,122.0016"
,,,,
211,Roseville,California,"124,519","38.7657,121.3032"
,,,,
212,Thornton,Colorado,"124,140","39.9180,104.9454"
,,,,
213,Kent,Washington,"122,999","47.3853,122.2169"
,,,,
214,Lafayette,Louisiana,"122,761","30.2116,92.0314"
,,,,
215,Surprise,Arizona,"121,287","33.6706,112.4527"
,,,,
216,Denton,Texas,"121,123","33.2151,97.1417"
,,,,
217,Victorville,California,"120,336","34.5277,117.3536"
,,,,
218,Evansville,Indiana,"120,235","37.9877,87.5347"
,,,,
219,Midland,Texas,"119,385","32.0299,102.1097"
,,,,
220,Santa Clara,California,"119,311","37.3646,121.9679"
,,,,
221,Athens,Georgia,"118,999","33.9496,83.3701"
,,,,
222,Allentown,Pennsylvania,"118,974","40.5940,75.4782"
,,,,
223,Abilene,Texas,"118,887","32.4545,99.7381"
,,,,
224,Beaumont,Texas,"118,228","30.0843,94.1458"
,,,,
225,Vallejo,California,"117,796","38.1079,122.2639"
,,,,
226,Independence,Missouri,"117,270","39.0853,94.3513"
,,,,
227,Springfield,Illinois,"117,126","39.7639,89.6708"
,,,,
228,Ann Arbor,Michigan,"116,121","42.2756,83.7313"
,,,,
229,Provo,Utah,"115,919","40.2453,111.6448"
,,,,
230,Peoria,Illinois,"115,687","40.7523,89.6171"
,,,,
231,Norman,Oklahoma,"115,562","35.2406,97.3453"
,,,,
232,Berkeley,California,"115,403","37.8667,122.2991"
,,,,
233,El Monte,California,"115,111","34.0746,118.0291"
,,,,
234,Murfreesboro,Tennessee,"114,038","35.8522,86.4161"
,,,,
235,Lansing,Michigan,"113,996","42.7098,84.5562"
,,,,
236,Columbia,Missouri,"113,225","38.9479,92.3261"
,,,,
237,Downey,California,"112,873","33.9382,118.1309"
,,,,
238,Costa Mesa,California,"111,918","33.6659,117.9123"
,,,,
239,Inglewood,California,"111,182","33.9561,118.3443"
,,,,
240,Miami Gardens,Florida,"110,754","25.9489,80.2436"
,,,,
241,Manchester,New Hampshire,"110,209","42.9847,71.4439"
,,,,
242,Elgin,Illinois,"109,927","42.0396,88.3217"
,,,,
243,Wilmington,North Carolina,"109,922","34.2092,77.8858"
,,,,
244,Waterbury,Connecticut,"109,915","41.5585,73.0367"
,,,,
245,Fargo,North Dakota,"109,779","46.8652,96.8290"
,,,,
246,Arvada,Colorado,"109,745","39.8097,105.1066"
,,,,
247,Carlsbad,California,"109,318","33.1239,117.2828"
,,,,
248,Westminster,Colorado,"109,169","39.8822,105.0644"
,,,,
249,Rochester,Minnesota,"108,992","44.0154,92.4772"
,,,,
250,Gresham,Oregon,"108,956","45.5023,122.4416"
,,,,
251,Clearwater,Florida,"108,732","27.9795,82.7663"
,,,,
252,Lowell,Massachusetts,"108,522","42.6389,71.3221"
,,,,
253,West Jordan,Utah,"108,383","40.6023,112.0010"
,,,,
254,Pueblo,Colorado,"107,772","38.2731,104.6124"
,,,,
255,San Buenaventura (Ventura),California,"107,734","34.2681,119.2550"
,,,,
256,Fairfield,California,"107,684","38.2568,122.0397"
,,,,
257,West Covina,California,"107,440","34.0559,117.9099"
,,,,
258,Billings,Montana,"106,954","45.7895,108.5499"
,,,,
259,Murrieta,California,"106,810","33.5719,117.1907"
,,,,
260,High Point,North Carolina,"106,586","35.9855,79.9902"
,,,,
261,Round Rock,Texas,"106,573","30.5237,97.6674"
,,,,
262,Richmond,California,"106,516","37.9530,122.3594"
,,,,
263,Cambridge,Massachusetts,"106,471","42.3760,71.1183"
,,,,
264,Norwalk,California,"106,278","33.9069,118.0834"
,,,,
265,Odessa,Texas,"106,102","31.8804,102.3434"
,,,,
266,Antioch,California,"105,508","37.9775,121.7976"
,,,,
267,Temecula,California,"105,208","33.5019,117.1246"
,,,,
268,Green Bay,Wisconsin,"104,868","44.5207,87.9842"
,,,,
269,Everett,Washington,"104,655","48.0033,122.1742"
,,,,
270,Wichita Falls,Texas,"104,552","33.9067,98.5259"
,,,,
271,Burbank,California,"104,391","34.1890,118.3249"
,,,,
272,Palm Bay,Florida,"104,124","27.9856,80.6626"
,,,,
273,Centennial,Colorado,"103,743","39.5906,104.8691"
,,,,
274,Daly City,California,"103,690","37.7009,122.4650"
,,,,
275,Richardson,Texas,"103,297","32.9723,96.7081"
,,,,
276,Pompano Beach,Florida,"102,984","26.2426,80.1290"
,,,,
277,Broken Arrow,Oklahoma,"102,019","36.0365,95.7810"
,,,,
278,North Charleston,South Carolina,"101,989","32.8853,80.0169"
279,West Palm Beach,Florida,"101,903","26.7483,80.1266"
,,,,
280,Boulder,Colorado,"101,808","40.0175,105.2797"
281,Rialto,California,"101,740","34.1118,117.3883"
,,,,
282,Santa Maria,California,"101,459","34.9332,120.4438"
,,,,
283,El Cajon,California,"101,435","32.8017,116.9605"
,,,,
284,Davenport,Iowa,"101,363","41.5541,90.6040"
,,,,
285,Erie,Pennsylvania,"101,047","42.1166,80.0735"
,,,,
285,Las Cruces,New Mexico,"101,047","32.3197,106.7653"
,,,,
287,South Bend,Indiana,"100,800","41.6769,86.2690"
,,,,
288,Flint,Michigan,"100,515","43.0244,83.6920"
,,,,
289,Kenosha,Wisconsin,"100,150","42.5822,87.8456"
