2012 rank,City,State[5],2012 estimate,2010 Census,Change,2010 land area,2010 population density,ANSI,Location
36,Long Beach,California,"467,892","462,257",1.22%,50.293æsqæmi,"9,191æperæsqæmi",2410866,"33.8091,118.1553"
,,,,,,130.259ækm2,"3,549ækm-2",,
37,Kansas City,Missouri,"464,310","459,787",0.98%,314.950æsqæmi,"1,460æperæsqæmi",2395492,"39.1252,94.5511"
,,,,,,815.717ækm2,564ækm-2,,
38,Mesa,Arizona,"452,084","439,041",2.97%,136.452æsqæmi,"3,218æperæsqæmi",2411087,"33.4019,111.7174"
,,,,,,353.410ækm2,"1,242ækm-2",,
39,Virginia Beach[15],Virginia,"447,021","437,994",2.06%,249.016æsqæmi,"1,759æperæsqæmi",1498559,"36.7793,76.0240"
,,,,,,644.949ækm2,679ækm-2,,
40,Atlanta,Georgia,"443,775","420,003",5.66%,133.152æsqæmi,"3,154æperæsqæmi",2403126,"33.7629,84.4227"
,,,,,,344.861ækm2,"1,218ækm-2",,
41,Colorado Springs,Colorado,"431,834","416,427",3.70%,194.540æsqæmi,"2,141æperæsqæmi",2410198,"38.8673,104.7607"
,,,,,,503.858ækm2,826ækm-2,,
42,Raleigh,North Carolina,"423,179","403,892",4.78%,142.903æsqæmi,"2,826æperæsqæmi",2404590,"35.8302,78.6414"
,,,,,,370.117ækm2,"1,091ækm-2",,
43,Omaha,Nebraska,"421,570","408,958",3.08%,127.088æsqæmi,"3,218æperæsqæmi",2396064,"41.2647,96.0419"
,,,,,,329.157ækm2,"1,242ækm-2",,
44,Miami,Florida,"413,892","399,457",3.61%,35.871æsqæmi,"11,136æperæsqæmi",2404247,"25.7752,80.2086"
,,,,,,92.906ækm2,"4,300ækm-2",,
45,Oakland,California,"400,740","390,724",2.56%,55.786æsqæmi,"7,004æperæsqæmi",2411292,"37.7699,122.2256"
,,,,,,144.485ækm2,"2,704ækm-2",,
46,Tulsa,Oklahoma,"393,987","391,906",0.53%,196.754æsqæmi,"1,992æperæsqæmi",2412110,"36.1279,95.9023"
,,,,,,509.590ækm2,769ækm-2,,
47,Minneapolis,Minnesota,"392,880","382,578",2.69%,53.973æsqæmi,"7,088æperæsqæmi",2395345,"44.9633,93.2683"
,,,,,,139.789ækm2,"2,737ækm-2",,
48,Cleveland,Ohio,"390,928","396,815",_1.48%,77.697æsqæmi,"5,107æperæsqæmi",1085963,"41.4781,81.6795"
,,,,,,201.234ækm2,"1,972ækm-2",,
49,Wichita,Kansas,"385,577","382,368",0.84%,159.295æsqæmi,"2,400æperæsqæmi",485662,"37.6907,97.3427"
,,,,,,412.571ækm2,927ækm-2,,
50,Arlington,Texas,"375,600","365,438",2.78%,95.882æsqæmi,"3,811æperæsqæmi",2409731,"32.7007,97.1247"
,,,,,,248.332ækm2,"1,472ækm-2",,
51,New Orleans[17],Louisiana,"369,250","343,829",7.39%,169.423æsqæmi,"2,029æperæsqæmi",545142,"30.0686,89.9390"
,,,,,,438.803ækm2,784ækm-2,,
52,Bakersfield,California,"358,597","347,483",3.20%,142.164æsqæmi,"2,444æperæsqæmi",2409774,"35.3212,119.0183"
,,,,,,368.204ækm2,944ækm-2,,
53,Tampa,Florida,"347,645","335,709",3.56%,113.409æsqæmi,"2,960æperæsqæmi",2405568,"27.9701,82.4797"
,,,,,,293.728ækm2,"1,143ækm-2",,
54,Honolulu[2],Hawai'i,"345,610","337,256",2.48%,60.521æsqæmi,"5,573æperæsqæmi",2630783,"21.3259,157.8453"
,,,,,,156.748ækm2,"2,152ækm-2",,
55,Anaheim,California,"343,248","336,265",2.08%,49.835æsqæmi,"6,748æperæsqæmi",2409704,"33.8555,117.7601"
,,,,,,129.073ækm2,"2,605ækm-2",,
56,Aurora,Colorado,"339,030","325,078",4.29%,154.100æsqæmi,"2,110æperæsqæmi",2409731,"32.7007,97.1247"
,,,,,,369.100ækm2,881ækm-2,,
57,Santa Ana,California,"330,920","324,528",1.97%,27.270æsqæmi,"11,901æperæsqæmi",2411814,"33.7365,117.8826"
,,,,,,70.628ækm2,"4,595ækm-2",,
58,St. Louis[15],Missouri,"318,172","319,294",_0.35%,61.909æsqæmi,"5,157æperæsqæmi",767557,"38.6357,90.2446"
,,,,,,160.343ækm2,"1,991ækm-2",,
59,Riverside,California,"313,673","303,871",3.23%,81.140æsqæmi,"3,745æperæsqæmi",2410965,"33.9381,117.3932"
,,,,,,210.152ækm2,"1,446ækm-2",,
60,Corpus Christi,Texas,"312,195","305,215",2.29%,160.612æsqæmi,"1,900æperæsqæmi",2410234,"27.7543,97.1734"
,,,,,,415.982ækm2,734ækm-2,,
61,Pittsburgh,Pennsylvania,"306,211","305,704",0.17%,55.367æsqæmi,"5,521æperæsqæmi",1214818,"40.4398,79.9766"
,,,,,,143.400ækm2,"2,132ækm-2",,
62,Lexington[18],Kentucky,"310,573","295,803",4.99%,283.649æsqæmi,"1,043æperæsqæmi",2405089,"38.0402,84.4584"
,,,,,,734.649ækm2,403ækm-2,,
63,Anchorage[19],Alaska,"298,610","291,826",2.32%,"1,704.683æsqæmi",171æperæsqæmi,2419025,"61.1775,149.2744"
,,,,,,"4,415.109ækm2",66ækm-2,,
64,Stockton,California,"297,984","291,707",2.15%,61.670æsqæmi,"4,730æperæsqæmi",2411987,"37.9763,121.3133"
,,,,,,159.723ækm2,"1,826ækm-2",,
65,Cincinnati,Ohio,"296,550","296,943",_0.13%,77.942æsqæmi,"3,810æperæsqæmi",1086201,"39.1399,84.5064"
,,,,,,201.870ækm2,"1,471ækm-2",,
66,Saint Paul,Minnesota,"290,770","285,068",2.00%,51.979æsqæmi,"5,484æperæsqæmi",2396511,"44.9489,93.1039"
,,,,,,134.624ækm2,"2,118ækm-2",,
67,Toledo,Ohio,"284,012","287,208",_1.11%,80.692æsqæmi,"3,559æperæsqæmi",1086537,"41.6641,83.5819"
,,,,,,208.991ækm2,"1,374ækm-2",,
68,Newark,New Jersey,"277,727","277,140",0.21%,24.187æsqæmi,"11,458æperæsqæmi",885317,"40.7242,74.1726"
,,,,,,62.644ækm2,"4,424ækm-2",,
69,Greensboro,North Carolina,"277,080","269,666",2.75%,126.515æsqæmi,"2,131æperæsqæmi",2403745,"36.0965,79.8271"
,,,,,,327.673ækm2,823ækm-2,,
70,Plano,Texas,"272,068","259,841",4.71%,71.581æsqæmi,"3,630æperæsqæmi",2411437,"33.0508,96.7479"
,,,,,,185.395ækm2,"1,402ækm-2",,
71,Henderson,Nevada,"265,679","257,729",3.08%,107.732æsqæmi,"2,392æperæsqæmi",2410741,"36.0122,115.0375"
,,,,,,279.024ækm2,924ækm-2,,
72,Lincoln,Nebraska,"265,404","258,379",2.72%,89.114æsqæmi,"2,899æperæsqæmi",2395713,"40.8090,96.6804"
,,,,,,230.804ækm2,"1,119ækm-2",,
73,Buffalo,New York,"259,384","261,310",_0.74%,40.384æsqæmi,"6,471æperæsqæmi",978764,"42.8925,78.8597"
,,,,,,104.594ækm2,"2,498ækm-2",,
74,Fort Wayne,Indiana,"254,555","253,691",0.34%,110.618æsqæmi,"2,293æperæsqæmi",2394798,"41.0882,85.1439"
,,,,,,286.500ækm2,885ækm-2,,
75,Jersey City,New Jersey,"254,441","247,597",2.76%,14.794æsqæmi,"16,737æperæsqæmi",885264,"40.7114,74.0648"
,,,,,,38.316ækm2,"6,462ækm-2",,
76,Chula Vista,California,"252,422","243,916",3.49%,49.631æsqæmi,"4,915æperæsqæmi",2409461,"32.6277,117.0152"
,,,,,,128.545ækm2,"1,898ækm-2",,
77,Orlando,Florida,"249,562","238,300",4.73%,102.395æsqæmi,"2,327æperæsqæmi",2404443,"28.4159,81.2988"
,,,,,,265.203ækm2,899ækm-2,,
78,St. Petersburg,Florida,"246,541","244,769",0.72%,61.742æsqæmi,"3,964æperæsqæmi",2405401,"27.7620,82.6441"
,,,,,,159.910ækm2,"1,531ækm-2",,
79,Norfolk[15],Virginia,"245,782","242,803",1.23%,54.120æsqæmi,"4,486æperæsqæmi",1498557,"36.9230,76.2446"
,,,,,,140.171ækm2,"1,732ækm-2",,
80,Chandler,Arizona,"245,628","236,123",4.03%,64.413æsqæmi,"3,666æperæsqæmi",2409433,"33.2829,111.8549"
,,,,,,166.828ækm2,"1,415ækm-2",,
81,Laredo,Texas,"244,731","236,091",3.66%,88.908æsqæmi,"2,655æperæsqæmi",2411626,"27.5477,99.4869"
,,,,,,230.271ækm2,"1,025ækm-2",,
82,Madison,Wisconsin,"240,323","233,209",3.05%,76.789æsqæmi,"3,037æperæsqæmi",1583625,"43.0878,89.4301"
,,,,,,198.882ækm2,"1,173ækm-2",,
83,Durham,North Carolina,"239,358","228,330",4.83%,107.370æsqæmi,"2,127æperæsqæmi",2403521,"35.9810,78.9056"
,,,,,,278.088ækm2,821ækm-2,,
84,Lubbock,Texas,"236,065","229,573",2.83%,122.410æsqæmi,"1,875æperæsqæmi",2410892,"33.5665,101.8867"
,,,,,,317.041ækm2,724ækm-2,,
85,Winston_Salem,North Carolina,"234,349","229,617",2.06%,132.449æsqæmi,"1,734æperæsqæmi",2405771,"36.1033,80.2606"
,,,,,,343.041ækm2,669ækm-2,,
86,Garland,Texas,"233,564","226,876",2.95%,57.085æsqæmi,"3,974æperæsqæmi",2410572,"32.9098,96.6304"
,,,,,,147.849ækm2,"1,535ækm-2",,
87,Glendale,Arizona,"232,143","226,721",2.39%,59.976æsqæmi,"3,780æperæsqæmi",2410596,"33.5331,112.1899"
,,,,,,155.337ækm2,"1,460ækm-2",,
88,Hialeah,Florida,"231,941","224,669",3.24%,21.450æsqæmi,"10,474æperæsqæmi",2404689,"25.8699,80.3029"
,,,,,,55.555ækm2,"4,044ækm-2",,
89,Reno,Nevada,"231,027","225,221",2.58%,103.009æsqæmi,"2,186æperæsqæmi",2410923,"39.4745,119.7765"
,,,,,,266.793ækm2,844ækm-2,,
90,Baton Rouge[20],Louisiana,"230,058","229,493",0.25%,76.947æsqæmi,"2,982æperæsqæmi",2403821,"30.4485,91.1259"
,,,,,,199.292ækm2,"1,152ækm-2",,
91,Irvine,California,"229,985","212,375",8.29%,66.106æsqæmi,"3,213æperæsqæmi",2410116,"33.6784,117.7713"
,,,,,,171.214ækm2,"1,240ækm-2",,
92,Chesapeake[15],Virginia,"228,417","222,209",2.79%,340.800æsqæmi,652æperæsqæmi,1498558,"36.6794,76.3018"
,,,,,,882.669ækm2,252ækm-2,,
93,Irving,Texas,"225,427","216,290",4.22%,67.017æsqæmi,"3,227æperæsqæmi",2410117,"32.8577,96.9700"
,,,,,,173.574ækm2,"1,246ækm-2",,
94,Scottsdale,Arizona,"223,514","217,385",2.82%,183.920æsqæmi,"1,182æperæsqæmi",2411845,"33.6687,111.8237"
,,,,,,476.350ækm2,456ækm-2,,
95,North Las Vegas,Nevada,"223,491","216,961",3.01%,101.345æsqæmi,"2,141æperæsqæmi",2411273,"36.2830,115.0893"
,,,,,,262.483ækm2,827ækm-2,,
96,Fremont,California,"221,986","214,089",3.69%,77.459æsqæmi,"2,764æperæsqæmi",2410545,"37.4944,121.9411"
,,,,,,200.618ækm2,"1,067ækm-2",,
97,Gilbert[21],Arizona,"221,140","208,453",6.09%,67.963æsqæmi,"3,067æperæsqæmi",2412682,"33.3102,111.7422"
,,,,,,176.023ækm2,"1,184ækm-2",,
98,San Bernardino,California,"213,295","209,924",1.61%,59.201æsqæmi,"3,546æperæsqæmi",2411777,"34.1393,117.2953"
,,,,,,153.330ækm2,"1,369ækm-2",,
99,Boise[22],Idaho,"212,303","205,671",3.22%,79.364æsqæmi,"2,592æperæsqæmi",2409876,"43.5985,116.2311"
,,,,,,205.551ækm2,"1,001ækm-2",,
100,Birmingham,Alabama,"212,038","212,237",_0.09%,146.067æsqæmi,"1,453æperæsqæmi",2403868,"33.5274,86.7990"
,,,,,,378.311ækm2,561ækm-2,,
101,Rochester,New York,"210,532","210,565",_0.02%,35.781æsqæmi,"5,885æperæsqæmi",979426,"43.1699,77.6169"
,,,,,,92.672ækm2,"2,272ækm-2",,
102,Richmond[15],Virginia,"210,309","204,214",2.98%,59.805æsqæmi,"3,415æperæsqæmi",1789073,"37.5314,77.4760"
,,,,,,154.895ækm2,"1,318ækm-2",,
103,Spokane,Washington,"209,525","208,916",0.29%,59.247æsqæmi,"3,526æperæsqæmi",2411956,"47.6736,117.4166"
,,,,,,153.448ækm2,"1,361ækm-2",,
104,Des Moines,Iowa,"206,688","203,433",1.60%,80.869æsqæmi,"2,516æperæsqæmi",2394522,"41.5739,93.6167"
,,,,,,209.451ækm2,971ækm-2,,
105,Montgomery,Alabama,"205,293","205,764",_0.23%,159.565æsqæmi,"1,290æperæsqæmi",2404289,"32.3463,86.2686"
,,,,,,413.272ækm2,498ækm-2,,
106,Modesto,California,"203,547","201,165",1.18%,36.867æsqæmi,"5,456æperæsqæmi",2411130,"37.6609,120.9891"
,,,,,,95.486ækm2,"2,107ækm-2",,
107,Fayetteville,North Carolina,"202,103","200,564",0.77%,145.845æsqæmi,"1,375æperæsqæmi",2403604,"35.0851,78.9803"
,,,,,,377.736ækm2,531ækm-2,,
108,Tacoma,Washington,"202,010","198,397",1.82%,49.721æsqæmi,"3,990æperæsqæmi",2412025,"47.2522,122.4598"
,,,,,,128.777ækm2,"1,541ækm-2",,
109,Shreveport,Louisiana,"201,867","199,311",1.28%,105.375æsqæmi,"1,891æperæsqæmi",2405463,"32.4670,93.7927"
,,,,,,272.920ækm2,730ækm-2,,
110,Fontana,California,"201,812","196,069",2.93%,42.432æsqæmi,"4,621æperæsqæmi",2410517,"34.1088,117.4627"
,,,,,,109.899ækm2,"1,784ækm-2",,
111,Oxnard,California,"201,555","197,899",1.85%,26.894æsqæmi,"7,358æperæsqæmi",2411347,"34.2023,119.2046"
,,,,,,69.656ækm2,"2,841ækm-2",,
112,Aurora,Illinois,"199,932","197,899",1.03%,44.936æsqæmi,"4,404æperæsqæmi",2394031,"41.7635,88.2901"
,,,,,,116.384ækm2,"1,700ækm-2",,
113,Moreno Valley,California,"199,552","193,365",3.20%,51.275æsqæmi,"3,771æperæsqæmi",2411159,"33.9233,117.2057"
,,,,,,132.800ækm2,"1,456ækm-2",,
114,Akron,Ohio,"198,549","199,110",_0.28%,62.033æsqæmi,"3,210æperæsqæmi",1086993,"41.0805,81.5214"
,,,,,,160.664ækm2,"1,239ækm-2",,
115,Yonkers,New York,"198,449","195,976",1.26%,18.012æsqæmi,"10,880æperæsqæmi",979660,"40.9459,73.8674"
,,,,,,46.651ækm2,"4,201ækm-2",,
116,Columbus[23],Georgia,"198,413","189,885",4.49%,216.385æsqæmi,878æperæsqæmi,2404111,"32.5102,84.8749"
,,,,,,560.435ækm2,339ækm-2,,
117,Augusta[24],Georgia,"197,872","195,844",1.04%,302.474æsqæmi,647æperæsqæmi,2405078,"33.3655,82.0734"
,,,,,,783.404ækm2,250ækm-2,,
118,Little Rock,Arkansas,"196,537","193,524",1.56%,119.200æsqæmi,"1,624æperæsqæmi",2404939,"34.7254,92.3586"
,,,,,,308.726ækm2,627ækm-2,,
119,Amarillo,Texas,"195,250","190,695",2.39%,99.476æsqæmi,"1,917æperæsqæmi",2409694,"35.1978,101.8287"
,,,,,,257.641ækm2,740ækm-2,,
120,Mobile,Alabama,"194,822","195,111",_0.15%,139.109æsqæmi,"1,403æperæsqæmi",2404278,"30.6684,88.1002"
,,,,,,360.290ækm2,542ækm-2,,
