2012 rank,City,State[5],2012 estimate,2010 Census,Change,2010 land area,2010 population density,ANSI,Location
152,Elk Grove,California,"159,038","153,015",3.94%,42.190æsqæmi,"3,627æperæsqæmi",2410425,"38.4144,121.3849"
,,,,,,109.271ækm2,"1,400ækm-2",,
153,Corona,California,"158,391","152,374",3.95%,38.825æsqæmi,"3,925æperæsqæmi",2410232,"33.8624,117.5639"
,,,,,,100.558ækm2,"1,515ækm-2",,
154,Eugene,Oregon,"157,986","156,185",1.15%,43.723æsqæmi,"3,572æperæsqæmi",2410460,"44.0567,123.1162"
,,,,,,113.241ækm2,"1,379ækm-2",,
155,Salem,Oregon,"157,429","154,637",1.81%,47.896æsqæmi,"3,229æperæsqæmi",2411764,"44.9237,123.0231"
,,,,,,124.049ækm2,"1,247ækm-2",,
156,Palmdale,California,"155,650","152,750",1.90%,105.961æsqæmi,"1,442æperæsqæmi",2411359,"34.5913,118.1090"
,,,,,,274.439ækm2,557ækm-2,,
157,Salinas,California,"154,484","150,441",2.69%,23.179æsqæmi,"6,490æperæsqæmi",2411768,"36.6902,121.6337"
,,,,,,60.033ækm2,"2,506ækm-2",,
158,Springfield,Massachusetts,"153,552","153,060",0.32%,31.865æsqæmi,"4,803æperæsqæmi",619388,"42.1155,72.5400"
,,,,,,82.530ækm2,"1,855ækm-2",,
159,Pasadena,Texas,"152,272","149,043",2.17%,42.762æsqæmi,"3,485æperæsqæmi",2411380,"29.6583,95.1505"
,,,,,,110.754ækm2,"1,346ækm-2",,
160,Rockford,Illinois,"150,843","152,871",_1.33%,61.081æsqæmi,"2,503æperæsqæmi",2396405,"42.2634,89.0628"
,,,,,,158.200ækm2,966ækm-2,,
161,Pomona,California,"150,812","149,058",1.18%,22.952æsqæmi,"6,494æperæsqæmi",2411454,"34.0586,117.7613"
,,,,,,59.444ækm2,"2,508ækm-2",,
162,Hayward,California,"149,392","144,186",3.61%,45.323æsqæmi,"3,181æperæsqæmi",2410724,"37.6281,122.1063"
,,,,,,117.386ækm2,"1,228ækm-2",,
163,Fort Collins,Colorado,"148,612","143,986",3.21%,54.277æsqæmi,"2,653æperæsqæmi",2410526,"40.5482,105.0648"
,,,,,,140.578ækm2,"1,024ækm-2",,
164,Joliet,Illinois,"148,268","147,433",0.57%,62.114æsqæmi,"2,374æperæsqæmi",2395477,"41.5181,88.1584"
,,,,,,160.874ækm2,916ækm-2,,
165,Escondido,California,"147,575","143,911",2.55%,36.813æsqæmi,"3,909æperæsqæmi",2410455,"33.1336,117.0732"
,,,,,,95.345ækm2,"1,509ækm-2",,
166,Kansas City[26],Kansas,"147,268","145,786",1.02%,124.810æsqæmi,"1,168æperæsqæmi",485601,"39.1225,94.7418"
,,,,,,323.256ækm2,451ækm-2,,
167,Torrance,California,"147,027","145,438",1.09%,20.478æsqæmi,"7,102æperæsqæmi",2412087,"33.8350,118.3414"
,,,,,,53.038ækm2,"2,742ækm-2",,
168,Bridgeport,Connecticut,"146,425","144,229",1.52%,15.974æsqæmi,"9,029æperæsqæmi",2378269,"41.1874,73.1957"
,,,,,,41.372ækm2,"3,486ækm-2",,
169,Alexandria[15],Virginia,"146,294","139,966",4.52%,15.027æsqæmi,"9,314æperæsqæmi",1498415,"38.8183,77.0820"
,,,,,,38.920ækm2,"3,596ækm-2",,
170,Sunnyvale,California,"146,197","140,081",4.37%,21.987æsqæmi,"6,371æperæsqæmi",2412009,"37.3858,122.0263"
,,,,,,56.947ækm2,"2,460ækm-2",,
171,Cary[27],North Carolina,"145,693","135,234",7.73%,54.345æsqæmi,"2,488æperæsqæmi",2406229,"35.7821,78.8141"
,,,,,,140.754ækm2,961ækm-2,,
172,Lakewood,Colorado,"145,516","142,980",1.77%,42.880æsqæmi,"3,334æperæsqæmi",2411614,"39.6989,105.1176"
,,,,,,111.060ækm2,"1,287ækm-2",,
173,Hollywood,Florida,"145,236","140,768",3.17%,27.366æsqæmi,"5,144æperæsqæmi",2404719,"26.0311,80.1646"
,,,,,,70.879ækm2,"1,986ækm-2",,
174,Paterson,New Jersey,"145,219","146,199",_0.67%,8.428æsqæmi,"17,346æperæsqæmi",885343,"40.9147,74.1628"
,,,,,,21.829ækm2,"6,697ækm-2",,
175,Syracuse,New York,"144,170","145,170",_0.69%,25.043æsqæmi,"5,797æperæsqæmi",979539,"43.0410,76.1436"
,,,,,,64.862ækm2,"2,238ækm-2",,
176,Naperville,Illinois,"143,684","141,853",1.29%,38.769æsqæmi,"3,659æperæsqæmi",2395147,"41.7492,88.1620"
,,,,,,100.412ækm2,"1,413ækm-2",,
177,McKinney,Texas,"143,223","131,117",9.23%,62.209æsqæmi,"2,108æperæsqæmi",2411064,"33.2012,96.6680"
,,,,,,161.120ækm2,814ækm-2,,
178,Mesquite,Texas,"143,195","139,824",2.41%,46.021æsqæmi,"3,038æperæsqæmi",2411090,"32.7639,96.5924"
,,,,,,119.194ækm2,"1,173ækm-2",,
179,Clarksville,Tennessee,"142,519","132,929",7.21%,97.603æsqæmi,"1,362æperæsqæmi",2404061,"36.5664,87.3452"
,,,,,,252.789ækm2,526ækm-2,,
180,Savannah,Georgia,"142,022","136,286",4.21%,103.151æsqæmi,"1,321æperæsqæmi",2405429,"32.0025,81.1536"
,,,,,,267.160ækm2,510ækm-2,,
181,Dayton,Ohio,"141,359","141,527",_0.12%,55.652æsqæmi,"2,543æperæsqæmi",1086666,"39.7774,84.1996"
,,,,,,144.139ækm2,982ækm-2,,
182,Orange,California,"139,419","136,416",2.20%,24.797æsqæmi,"5,501æperæsqæmi",2411325,"33.8048,117.8249"
,,,,,,64.224ækm2,"2,124ækm-2",,
183,Fullerton,California,"138,574","135,161",2.53%,22.353æsqæmi,"6,047æperæsqæmi",2410556,"33.8857,117.9280"
,,,,,,57.893ækm2,"2,335ækm-2",,
184,Pasadena,California,"138,547","137,122",1.04%,22.970æsqæmi,"5,970æperæsqæmi",2411379,"34.1606,118.1396"
,,,,,,59.493ækm2,"2,305ækm-2",,
185,Hampton[15],Virginia,"136,836","137,436",_0.44%,51.413æsqæmi,"2,673æperæsqæmi",1498554,"37.0480,76.2971"
,,,,,,133.160ækm2,"1,032ækm-2",,
186,McAllen,Texas,"134,719","129,877",3.73%,48.344æsqæmi,"2,687æperæsqæmi",2411057,"26.2185,98.2461"
,,,,,,125.209ækm2,"1,037ækm-2",,
187,Killeen,Texas,"134,654","127,921",5.26%,53.580æsqæmi,"2,387æperæsqæmi",2411542,"31.0777,97.7320"
,,,,,,138.773ækm2,922ækm-2,,
188,Warren,Michigan,"134,141","134,056",0.06%,34.381æsqæmi,"3,899æperæsqæmi",1627213,"42.4929,83.0250"
,,,,,,89.045ækm2,"1,505ækm-2",,
189,West Valley City,Utah,"132,434","129,480",2.28%,35.556æsqæmi,"3,642æperæsqæmi",2412231,"40.6885,112.0118"
,,,,,,92.090ækm2,"1,406ækm-2",,
190,Columbia,South Carolina,"131,686","129,272",1.87%,132.213æsqæmi,978æperæsqæmi,2404107,"34.0298,80.8966"
,,,,,,342.431ækm2,378ækm-2,,
191,New Haven,Connecticut,"130,741","129,779",0.74%,18.679æsqæmi,"6,948æperæsqæmi",2378285,"41.3108,72.9250"
,,,,,,48.377ækm2,"2,683ækm-2",,
192,Sterling Heights,Michigan,"130,410","129,699",0.55%,36.505æsqæmi,"3,553æperæsqæmi",1627126,"42.5812,83.0303"
,,,,,,94.547ækm2,"1,372ækm-2",,
193,Olathe,Kansas,"130,045","125,872",3.32%,59.661æsqæmi,"2,110æperæsqæmi",485633,"38.8843,94.8188"
,,,,,,154.521ækm2,815ækm-2,,
194,Miramar,Florida,"128,729","122,041",5.48%,29.521æsqæmi,"4,134æperæsqæmi",2404275,"25.9770,80.3358"
,,,,,,76.458ækm2,"1,596ækm-2",,
195,Thousand Oaks,California,"128,412","126,683",1.36%,55.031æsqæmi,"2,302æperæsqæmi",2412065,"34.1933,118.8742"
,,,,,,142.530ækm2,889ækm-2,,
196,Frisco,Texas,"128,176","116,989",9.56%,61.804æsqæmi,"1,893æperæsqæmi",2410549,"33.1510,96.8193"
,,,,,,160.071ækm2,731ækm-2,,
197,Cedar Rapids,Iowa,"128,119","126,326",1.42%,70.799æsqæmi,"1,784æperæsqæmi",467567,"41.9670,91.6778"
,,,,,,183.368ækm2,689ækm-2,,
198,Topeka,Kansas,"127,939","127,473",0.37%,60.168æsqæmi,"2,119æperæsqæmi",485655,"39.0362,95.6948"
,,,,,,155.833ækm2,818ækm-2,,
199,Visalia,California,"127,081","124,442",2.12%,36.246æsqæmi,"3,433æperæsqæmi",2412160,"36.3272,119.3234"
,,,,,,93.876ækm2,"1,326ækm-2",,
200,Waco,Texas,"127,018","124,805",1.77%,88.964æsqæmi,"1,403æperæsqæmi",2412162,"31.5601,97.1860"
,,,,,,230.416ækm2,542ækm-2,,
201,Elizabeth,New Jersey,"126,458","124,969",1.19%,12.319æsqæmi,"10,144æperæsqæmi",885205,"40.6663,74.1935"
,,,,,,31.907ækm2,"3,917ækm-2",,
202,Bellevue,Washington,"126,439","122,363",3.33%,31.968æsqæmi,"3,828æperæsqæmi",2409821,"47.5978,122.1565"
,,,,,,82.796ækm2,"1,478ækm-2",,
203,Gainesville,Florida,"126,047","124,354",1.36%,61.305æsqæmi,"2,028æperæsqæmi",2403676,"29.6788,82.3459"
,,,,,,158.779ækm2,783ækm-2,,
204,Simi Valley,California,"125,793","124,237",1.25%,41.480æsqæmi,"2,995æperæsqæmi",2411904,"34.2669,118.7485"
,,,,,,107.433ækm2,"1,156ækm-2",,
205,Charleston,South Carolina,"125,583","120,083",4.58%,108.979æsqæmi,"1,102æperæsqæmi",2404030,"32.8179,79.9589"
,,,,,,282.253ækm2,425ækm-2,,
206,Carrollton,Texas,"125,409","119,097",5.30%,36.296æsqæmi,"3,281æperæsqæmi",2409992,"32.9884,96.8998"
,,,,,,94.007ækm2,"1,267ækm-2",,
207,Coral Springs,Florida,"125,287","121,096",3.46%,23.792æsqæmi,"5,090æperæsqæmi",2404127,"26.2708,80.2593"
,,,,,,61.620ækm2,"1,965ækm-2",,
208,Stamford,Connecticut,"125,109","122,643",2.01%,37.639æsqæmi,"3,258æperæsqæmi",2378291,"41.0799,73.5460"
,,,,,,97.483ækm2,"1,258ækm-2",,
209,Hartford,Connecticut,"124,893","124,775",0.09%,17.381æsqæmi,"7,179æperæsqæmi",2378277,"41.7660,72.6833"
,,,,,,45.016ækm2,"2,772ækm-2",,
210,Concord,California,"124,711","122,067",2.17%,30.546æsqæmi,"3,996æperæsqæmi",2410214,"37.9722,122.0016"
,,,,,,79.114ækm2,"1,543ækm-2",,
211,Roseville,California,"124,519","118,788",4.82%,36.222æsqæmi,"3,279æperæsqæmi",2411000,"38.7657,121.3032"
,,,,,,93.814ækm2,"1,266ækm-2",,
212,Thornton,Colorado,"124,140","118,772",4.52%,34.843æsqæmi,"3,409æperæsqæmi",2412064,"39.9180,104.9454"
,,,,,,90.243ækm2,"1,316ækm-2",,
213,Kent,Washington,"122,999","92,411",33.10%,28.625æsqæmi,"3,228æperæsqæmi",2410185,"47.3853,122.2169"
,,,,,,74.139ækm2,"1,246ækm-2",,
214,Lafayette[28],Louisiana,"122,761","120,623",1.77%,49.231æsqæmi,"2,450æperæsqæmi",2404854,"30.2116,92.0314"
,,,,,,127.509ækm2,946ækm-2,,
215,Surprise,Arizona,"121,287","117,517",3.21%,105.747æsqæmi,"1,111æperæsqæmi",2412016,"33.6706,112.4527"
,,,,,,273.884ækm2,429ækm-2,,
216,Denton,Texas,"121,123","113,383",6.83%,87.952æsqæmi,"1,289æperæsqæmi",2410323,"33.2151,97.1417"
,,,,,,227.794ækm2,498ækm-2,,
217,Victorville,California,"120,336","115,903",3.82%,73.178æsqæmi,"1,584æperæsqæmi",2412156,"34.5277,117.3536"
,,,,,,189.529ækm2,612ækm-2,,
218,Evansville,Indiana,"120,235","117,429",2.39%,44.153æsqæmi,"2,660æperæsqæmi",2394710,"37.9877,87.5347"
,,,,,,114.357ækm2,"1,027ækm-2",,
219,Midland,Texas,"119,385","111,147",7.41%,72.071æsqæmi,"1,542æperæsqæmi",2411096,"32.0299,102.1097"
,,,,,,186.663ækm2,595ækm-2,,
220,Santa Clara,California,"119,311","116,468",2.44%,18.407æsqæmi,"6,327æperæsqæmi",2411816,"37.3646,121.9679"
,,,,,,47.675ækm2,"2,443ækm-2",,
221,Athens[29],Georgia,"118,999","115,452",3.07%,116.355æsqæmi,992æperæsqæmi,2407405,"33.9496,83.3701"
,,,,,,301.358ækm2,383ækm-2,,
222,Allentown,Pennsylvania,"118,974","118,032",0.80%,17.546æsqæmi,"6,727æperæsqæmi",1215372,"40.5940,75.4782"
,,,,,,45.443ækm2,"2,597ækm-2",,
223,Abilene,Texas,"118,887","117,063",1.56%,106.793æsqæmi,"1,096æperæsqæmi",2409657,"32.4545,99.7381"
,,,,,,276.592ækm2,423ækm-2,,
224,Beaumont,Texas,"118,228","118,296",_0.06%,82.801æsqæmi,"1,429æperæsqæmi",2409806,"30.0843,94.1458"
,,,,,,214.452ækm2,552ækm-2,,
225,Vallejo,California,"117,796","115,942",1.60%,30.671æsqæmi,"3,780æperæsqæmi",2412142,"38.1079,122.2639"
,,,,,,79.439ækm2,"1,460ækm-2",,
226,Independence,Missouri,"117,270","116,830",0.38%,77.567æsqæmi,"1,506æperæsqæmi",2395422,"39.0853,94.3513"
,,,,,,200.897ækm2,582ækm-2,,
227,Springfield,Illinois,"117,126","116,250",0.75%,59.480æsqæmi,"1,954æperæsqæmi",2395940,"39.7639,89.6708"
,,,,,,154.051ækm2,755ækm-2,,
228,Ann Arbor,Michigan,"116,121","113,934",1.92%,27.830æsqæmi,"4,094æperæsqæmi",1625837,"42.2756,83.7313"
,,,,,,72.079ækm2,"1,581ækm-2",,
229,Provo,Utah,"115,919","112,488",3.05%,41.673æsqæmi,"2,699æperæsqæmi",2411499,"40.2453,111.6448"
,,,,,,107.931ækm2,"1,042ækm-2",,
230,Peoria,Illinois,"115,687","115,007",0.59%,48.007æsqæmi,"2,396æperæsqæmi",2396178,"40.7523,89.6171"
,,,,,,124.338ækm2,925ækm-2,,
231,Norman,Oklahoma,"115,562","110,925",4.18%,178.763æsqæmi,621æperæsqæmi,2411267,"35.2406,97.3453"
,,,,,,462.995ækm2,240ækm-2,,
232,Berkeley,California,"115,403","112,580",2.51%,10.470æsqæmi,"10,752æperæsqæmi",2409837,"37.8667,122.2991"
,,,,,,27.118ækm2,"4,152ækm-2",,
233,El Monte,California,"115,111","113,475",1.44%,9.562æsqæmi,"11,867æperæsqæmi",2410413,"34.0746,118.0291"
,,,,,,24.766ækm2,"4,582ækm-2",,
234,Murfreesboro,Tennessee,"114,038","108,755",4.86%,55.346æsqæmi,"1,965æperæsqæmi",2404342,"35.8522,86.4161"
,,,,,,143.347ækm2,759ækm-2,,
235,Lansing,Michigan,"113,996","114,297",_0.26%,36.049æsqæmi,"3,171æperæsqæmi",1626588,"42.7098,84.5562"
,,,,,,93.366ækm2,"1,224ækm-2",,
236,Columbia,Missouri,"113,225","108,500",4.35%,63.077æsqæmi,"1,720æperæsqæmi",2393605,"38.9479,92.3261"
,,,,,,163.367ækm2,664ækm-2,,
237,Downey,California,"112,873","111,772",0.99%,12.408æsqæmi,"9,008æperæsqæmi",2410352,"33.9382,118.1309"
,,,,,,32.137ækm2,"3,478ækm-2",,
238,Costa Mesa,California,"111,918","109,960",1.78%,15.654æsqæmi,"7,025æperæsqæmi",2410239,"33.6659,117.9123"
,,,,,,40.543ækm2,"2,712ækm-2",,
239,Inglewood,California,"111,182","109,673",1.38%,9.068æsqæmi,"12,095æperæsqæmi",2410106,"33.9561,118.3443"
,,,,,,23.486ækm2,"4,670ækm-2",,
240,Miami Gardens,Florida,"110,754","107,167",3.35%,18.231æsqæmi,"5,878æperæsqæmi",2404249,"25.9489,80.2436"
,,,,,,47.217ækm2,"2,270ækm-2",,
241,Manchester,New Hampshire,"110,209","109,565",0.59%,33.101æsqæmi,"3,310æperæsqæmi",873658,"42.9847,71.4439"
,,,,,,85.730ækm2,"1,278ækm-2",,
242,Elgin,Illinois,"109,927","108,188",1.61%,37.163æsqæmi,"2,911æperæsqæmi",2394641,"42.0396,88.3217"
,,,,,,96.253ækm2,"1,124ækm-2",,
243,Wilmington,North Carolina,"109,922","106,476",3.24%,51.493æsqæmi,"2,068æperæsqæmi",2405754,"34.2092,77.8858"
,,,,,,133.366ækm2,798ækm-2,,
244,Waterbury,Connecticut,"109,915","110,366",_0.41%,28.519æsqæmi,"3,870æperæsqæmi",2378294,"41.5585,73.0367"
,,,,,,73.864ækm2,"1,494ækm-2",,
245,Fargo,North Dakota,"109,779","105,549",4.01%,48.821æsqæmi,"2,162æperæsqæmi",1036030,"46.8652,96.8290"
,,,,,,126.446ækm2,835ækm-2,,
246,Arvada,Colorado,"109,745","106,433",3.11%,35.142æsqæmi,"3,029æperæsqæmi",2409737,"39.8097,105.1066"
,,,,,,91.018ækm2,"1,169ækm-2",,
247,Carlsbad,California,"109,318","105,328",3.79%,37.722æsqæmi,"2,792æperæsqæmi",2409984,"33.1239,117.2828"
,,,,,,97.699ækm2,"1,078ækm-2",,
248,Westminster,Colorado,"109,169","106,114",2.88%,31.550æsqæmi,"3,363æperæsqæmi",2412237,"39.8822,105.0644"
,,,,,,81.715ækm2,"1,299ækm-2",,
249,Rochester,Minnesota,"108,992","106,769",2.08%,54.586æsqæmi,"1,956æperæsqæmi",2396395,"44.0154,92.4772"
,,,,,,141.377ækm2,755ækm-2,,
250,Gresham,Oregon,"108,956","105,594",3.18%,23.201æsqæmi,"4,551æperæsqæmi",2410663,"45.5023,122.4416"
,,,,,,60.090ækm2,"1,757ækm-2",,
251,Clearwater,Florida,"108,732","107,685",0.97%,25.562æsqæmi,"4,213æperæsqæmi",2404067,"27.9795,82.7663"
,,,,,,66.204ækm2,"1,627ækm-2",,
252,Lowell,Massachusetts,"108,522","106,519",1.88%,13.583æsqæmi,"7,842æperæsqæmi",618227,"42.6389,71.3221"
,,,,,,35.180ækm2,"3,028ækm-2",,
253,West Jordan,Utah,"108,383","103,712",4.50%,32.457æsqæmi,"3,195æperæsqæmi",2412222,"40.6023,112.0010"
,,,,,,84.063ækm2,"1,234ækm-2",,
254,Pueblo,Colorado,"107,772","106,595",1.10%,53.641æsqæmi,"1,987æperæsqæmi",2411501,"38.2731,104.6124"
,,,,,,138.930ækm2,767ækm-2,,
255,San Buenaventura (Ventura),California,"107,734","106,433",1.22%,21.655æsqæmi,"4,915æperæsqæmi",2411779,"34.2681,119.2550"
,,,,,,56.085ækm2,"1,898ækm-2",,
256,Fairfield,California,"107,684","105,321",2.24%,37.390æsqæmi,"2,817æperæsqæmi",2410474,"38.2568,122.0397"
,,,,,,96.839ækm2,"1,088ækm-2",,
257,West Covina,California,"107,440","106,098",1.26%,16.041æsqæmi,"6,614æperæsqæmi",2412219,"34.0559,117.9099"
,,,,,,41.545ækm2,"2,554ækm-2",,
258,Billings,Montana,"106,954","104,170",2.67%,43.413æsqæmi,"2,399æperæsqæmi",2409849,"45.7895,108.5499"
,,,,,,112.440ækm2,926ækm-2,,
259,Murrieta,California,"106,810","103,466",3.23%,33.577æsqæmi,"3,081æperæsqæmi",2411199,"33.5719,117.1907"
,,,,,,86.964ækm2,"1,190ækm-2",,
260,High Point,North Carolina,"106,586","104,371",2.12%,53.803æsqæmi,"1,940æperæsqæmi",2404696,"35.9855,79.9902"
,,,,,,139.348ækm2,749ækm-2,,
261,Round Rock,Texas,"106,573","99,887",6.69%,34.113æsqæmi,"2,928æperæsqæmi",2411005,"30.5237,97.6674"
,,,,,,88.352ækm2,"1,131ækm-2",,
262,Richmond,California,"106,516","103,701",2.71%,30.068æsqæmi,"3,449æperæsqæmi",2410939,"37.9530,122.3594"
,,,,,,77.875ækm2,"1,332ækm-2",,
263,Cambridge,Massachusetts,"106,471","105,162",1.24%,6.385æsqæmi,"16,469æperæsqæmi",619396,"42.3760,71.1183"
,,,,,,16.538ækm2,"6,359ækm-2",,
264,Norwalk,California,"106,278","105,549",0.69%,9.707æsqæmi,"10,873æperæsqæmi",2411281,"33.9069,118.0834"
,,,,,,25.141ækm2,"4,198ækm-2",,
265,Odessa,Texas,"106,102","99,940",6.17%,41.955æsqæmi,"2,382æperæsqæmi",2411303,"31.8804,102.3434"
,,,,,,108.662ækm2,920ækm-2,,
266,Antioch,California,"105,508","102,372",3.06%,28.349æsqæmi,"3,611æperæsqæmi",2409715,"37.9775,121.7976"
,,,,,,73.422ækm2,"1,394ækm-2",,
267,Temecula,California,"105,208","100,097",5.11%,30.151æsqæmi,"3,320æperæsqæmi",2412044,"33.5019,117.1246"
,,,,,,78.092ækm2,"1,282ækm-2",,
268,Green Bay,Wisconsin,"104,868","104,057",0.78%,45.467æsqæmi,"2,289æperæsqæmi",1583309,"44.5207,87.9842"
,,,,,,117.758ækm2,884ækm-2,,
269,Everett,Washington,"104,655","103,019",1.59%,33.447æsqæmi,"3,080æperæsqæmi",2410469,"48.0033,122.1742"
,,,,,,86.628ækm2,"1,189ækm-2",,
270,Wichita Falls,Texas,"104,552","104,553",0.00%,72.140æsqæmi,"1,449æperæsqæmi",2412261,"33.9067,98.5259"
,,,,,,186.841ækm2,560ækm-2,,
271,Burbank,California,"104,391","103,340",1.02%,17.341æsqæmi,"5,959æperæsqæmi",2409939,"34.1890,118.3249"
,,,,,,44.913ækm2,"2,301ækm-2",,
272,Palm Bay,Florida,"104,124","103,190",0.91%,65.702æsqæmi,"1,571æperæsqæmi",2404463,"27.9856,80.6626"
,,,,,,170.168ækm2,606ækm-2,,
273,Centennial,Colorado,"103,743","100,377",3.35%,28.722æsqæmi,"3,495æperæsqæmi",2409422,"39.5906,104.8691"
,,,,,,74.390ækm2,"1,349ækm-2",,
274,Daly City,California,"103,690","101,123",2.54%,7.664æsqæmi,"13,195æperæsqæmi",2410291,"37.7009,122.4650"
,,,,,,19.849ækm2,"5,095ækm-2",,
275,Richardson,Texas,"103,297","99,223",4.11%,28.564æsqæmi,"3,474æperæsqæmi",2410933,"32.9723,96.7081"
,,,,,,73.980ækm2,"1,341ækm-2",,
276,Pompano Beach,Florida,"102,984","99,845",3.14%,24.002æsqæmi,"4,160æperæsqæmi",2404547,"26.2426,80.1290"
,,,,,,62.165ækm2,"1,606ækm-2",,
277,Broken Arrow,Oklahoma,"102,019","98,850",3.21%,61.571æsqæmi,"1,605æperæsqæmi",2409914,"36.0365,95.7810"
,,,,,,159.469ækm2,620ækm-2,,
278,North Charleston,South Carolina,"101,989","97,471",4.64%,,,,"32.8853,80.0169"
279,West Palm Beach,Florida,"101,903","99,919",1.99%,55.293æsqæmi,"1,807æperæsqæmi",2405713,"26.7483,80.1266"
,,,,,,143.208ækm2,698ækm-2,,
280,Boulder,Colorado,"101,808","97,385",4.54%,,,,"40.0175,105.2797"
281,Rialto,California,"101,740","99,171",2.59%,22.351æsqæmi,"4,437æperæsqæmi",2410931,"34.1118,117.3883"
,,,,,,57.889ækm2,"1,713ækm-2",,
282,Santa Maria,California,"101,459","99,553",1.91%,22.756æsqæmi,"4,375æperæsqæmi",2411824,"34.9332,120.4438"
,,,,,,58.937ækm2,"1,689ækm-2",,
283,El Cajon,California,"101,435","99,478",1.97%,14.433æsqæmi,"6,892æperæsqæmi",2410406,"32.8017,116.9605"
,,,,,,37.381ækm2,"2,661ækm-2",,
284,Davenport,Iowa,"101,363","99,685",1.68%,62.948æsqæmi,"1,584æperæsqæmi",2394467,"41.5541,90.6040"
,,,,,,163.033ækm2,611ækm-2,,
285-(T),Erie,Pennsylvania,"101,047","101,786",_0.73%,19.081æsqæmi,"5,334æperæsqæmi",1215209,"42.1166,80.0735"
,,,,,,49.419ækm2,"2,060ækm-2",,
285-(T),Las Cruces,New Mexico,"101,047","97,618",3.51%,76.29æsqæmi,"1,279æperæsqæmi",,"32.3197,106.7653"
,,,,,,197.59ækm2,494ækm-2,,
287,South Bend,Indiana,"100,800","101,168",_0.36%,41.458æsqæmi,"2,440æperæsqæmi",2395913,"41.6769,86.2690"
,,,,,,107.375ækm2,942ækm-2,,
288,Flint,Michigan,"100,515","102,434",_1.87%,33.416æsqæmi,"3,065æperæsqæmi",1626285,"43.0244,83.6920"
,,,,,,86.547ækm2,"1,184ækm-2",,
289,Kenosha,Wisconsin,"100,150","99,218",0.94%,,,,"42.5822,87.8456"
